property_id,area_sqft,bedrooms,build_year,city,street_type,furnishing,property_type,has_pool,price,is_price_outlier,price_per_sqft,property_age,area_bucket,is_luxury
109,2734.5,2,2001,Indore,Residential Lane,Semi-Furnished,Apartment,No,559053.0,False,204.44,25,2500-3000,False
110,2293.98,5,2010,Prayagraj,Residential Lane,Furnished,Apartment,No,553604.0,False,241.33,16,2000-2500,False
111,1303.72,2,2021,Noida,Corner Plot,Furnished,Apartment,No,425004.0,False,325.99,5,1000-1500,False
112,2340.82,5,1991,Delhi,Residential Lane,Semi-Furnished,Villa,No,746435.0,False,318.88,35,2000-2500,False
113,1179.87,7,1985,Lucknow,Highway Facing,Furnished,Apartment,Yes,404564.0,False,342.89,41,1000-1500,False
114,1692.22,2,2023,Kanpur,Residential Lane,Semi-Furnished,Duplex,No,438470.0,False,259.11,3,1500-2000,False
115,2172.61,3,2020,Gurugram,Highway Facing,Unfurnished,Villa,No,647925.0,False,298.22,6,2000-2500,False
116,1935.93,5,1993,Delhi,Main Road,Semi-Furnished,Independent House,No,601040.0,False,310.47,33,1500-2000,False
117,1761.68,3,2021,Gurugram,Residential Lane,Furnished,Apartment,Yes,549138.0,False,311.71,5,1500-2000,False
118,2565.06,2,1996,Indore,Highway Facing,Semi-Furnished,Villa,No,670293.0,False,261.32,30,2500-3000,False
119,2907.45,7,1992,Delhi,Corner Plot,Furnished,Duplex,Yes,912260.0,False,313.77,34,2500-3000,True
120,2436.29,3,2005,Jaipur,Gated Society,Semi-Furnished,Apartment,No,588271.0,False,241.46,21,2000-2500,False
121,2092.2,6,2002,Lucknow,Highway Facing,Furnished,Villa,No,660047.0,False,315.48,24,2000-2500,False
122,2426.91,5,2006,Noida,Main Road,Unfurnished,Independent House,No,643510.0,False,265.16,20,2000-2500,False
123,2245.26,4,2023,Prayagraj,Main Road,Semi-Furnished,Independent House,Yes,652525.0,False,290.62,3,2000-2500,False
124,2705.91,5,1994,Jaipur,Corner Plot,Semi-Furnished,Apartment,Yes,610312.0,False,225.55,32,2500-3000,False
125,2034.8,7,1988,Prayagraj,Main Road,Furnished,Duplex,No,595978.0,False,292.89,38,2000-2500,False
126,1675.6,4,2021,Gurugram,Corner Plot,Semi-Furnished,Duplex,No,573055.0,False,342.0,5,1500-2000,False
127,2172.79,6,2018,Lucknow,Corner Plot,Furnished,Duplex,Yes,716450.0,False,329.74,8,2000-2500,False
128,2841.91,6,1994,Delhi,Residential Lane,Furnished,Duplex,Yes,880323.0,False,309.76,32,2500-3000,False
129,2457.71,7,2007,Gurugram,Corner Plot,Unfurnished,Apartment,No,667335.0,False,271.53,19,2000-2500,False
130,2981.28,7,2001,Indore,Highway Facing,Furnished,Apartment,Yes,753756.0,False,252.83,25,2500-3000,False
131,3496.56,7,2021,Delhi,Highway Facing,Furnished,Independent House,Yes,1031661.0,True,295.05,5,3000+,True
132,2162.04,2,1989,Noida,Corner Plot,Unknown,Apartment,No,496390.0,False,229.59,37,2000-2500,False
133,2181.78,7,2021,Prayagraj,Corner Plot,Furnished,Duplex,Yes,740422.0,False,339.37,5,2000-2500,False
134,700.0,6,1987,Noida,Highway Facing,Unfurnished,Independent House,No,310136.0,False,443.05,39,<1000,False
135,2805.91,5,2017,Indore,Main Road,Furnished,Apartment,Yes,735009.0,False,261.95,9,2500-3000,False
136,1689.45,6,2015,Noida,Highway Facing,Furnished,Duplex,No,623800.0,False,369.23,11,1500-2000,False
137,1754.07,3,2016,Gurugram,Main Road,Semi-Furnished,Apartment,Yes,557654.0,False,317.92,10,1500-2000,False
138,2078.34,4,2014,Delhi,Residential Lane,Furnished,Independent House,Yes,689116.0,False,331.57,12,2000-2500,False
139,2296.55,3,1988,Delhi,Corner Plot,Furnished,Independent House,No,657932.0,False,286.49,38,2000-2500,False
140,2857.28,4,2002,Indore,Gated Society,Semi-Furnished,Independent House,No,686692.0,False,240.33,24,2500-3000,False
141,1262.2,6,1995,Jaipur,Highway Facing,Furnished,Apartment,No,428089.0,False,339.16,31,1000-1500,False
142,2137.85,5,2001,Delhi,Gated Society,Semi-Furnished,Apartment,Yes,644165.0,False,301.31,25,2000-2500,False
143,2334.09,7,1995,Delhi,Corner Plot,Furnished,Independent House,No,728983.0,False,312.32,31,2000-2500,False
144,1184.28,3,2022,Prayagraj,Highway Facing,Furnished,Independent House,Yes,422769.0,False,356.98,4,1000-1500,False
145,2722.78,4,1992,Delhi,Main Road,Furnished,Apartment,Yes,739726.0,False,271.68,34,2500-3000,False
146,3094.59,4,2013,Prayagraj,Corner Plot,Unfurnished,Apartment,Yes,642562.0,False,207.64,13,3000+,False
147,3100.96,5,2020,Indore,Main Road,Furnished,Independent House,No,833192.0,False,268.69,6,3000+,False
148,2689.91,4,1997,Prayagraj,Residential Lane,Semi-Furnished,Apartment,Yes,571063.0,False,212.3,29,2500-3000,False
149,2868.34,5,2022,Gurugram,Highway Facing,Furnished,Apartment,No,775458.0,False,270.35,4,2500-3000,False
150,3521.11,5,2017,Indore,Residential Lane,Furnished,Independent House,No,852194.0,False,242.02,9,3000+,False
151,2064.05,2,1997,Kanpur,Residential Lane,Unfurnished,Apartment,Yes,421054.0,False,203.99,29,2000-2500,False
152,2705.62,3,2024,Gurugram,Highway Facing,Furnished,Duplex,No,779556.0,False,288.12,2,2500-3000,False
153,2232.8,3,1996,Noida,Corner Plot,Unfurnished,Apartment,No,503659.0,False,225.57,30,2000-2500,False
154,2262.99,5,2006,Gurugram,Main Road,Furnished,Apartment,No,626841.0,False,277.0,20,2000-2500,False
155,2557.65,5,1997,Gurugram,Residential Lane,Furnished,Independent House,No,739390.0,False,289.09,29,2500-3000,False
156,2514.16,6,2016,Noida,Residential Lane,Semi-Furnished,Apartment,No,664703.0,False,264.38,10,2500-3000,False
157,1930.67,5,1994,Prayagraj,Gated Society,Semi-Furnished,Apartment,No,544813.0,False,282.19,32,1500-2000,False
158,2014.86,6,2015,Indore,Corner Plot,Semi-Furnished,Independent House,No,593006.0,False,294.32,11,2000-2500,False
159,2215.73,3,2016,Noida,Gated Society,Semi-Furnished,Independent House,No,673675.0,False,304.04,10,2000-2500,False
160,2924.32,3,1996,Noida,Gated Society,Semi-Furnished,Apartment,No,702685.0,False,240.29,30,2500-3000,False
161,2471.72,3,1998,Jaipur,Gated Society,Unknown,Independent House,No,610801.0,False,247.12,28,2000-2500,False
162,2498.98,7,2023,Noida,Main Road,Semi-Furnished,Duplex,No,771345.0,False,308.66,3,2000-2500,False
163,2644.01,2,2024,Lucknow,Gated Society,Furnished,Apartment,No,628098.0,False,237.56,2,2500-3000,False
164,2117.27,3,2013,Kanpur,Main Road,Semi-Furnished,Apartment,No,516228.0,False,243.82,13,2000-2500,False
165,3025.42,7,2004,Gurugram,Gated Society,Semi-Furnished,Independent House,No,876479.0,False,289.7,22,3000+,False
166,2588.97,5,1999,Gurugram,Gated Society,Furnished,Duplex,No,802079.0,False,309.81,27,2500-3000,False
167,2023.11,3,2013,Gurugram,Gated Society,Unfurnished,Apartment,No,538241.0,False,266.05,13,2000-2500,False
168,1876.18,5,2004,Indore,Highway Facing,Furnished,Duplex,No,532480.0,False,283.81,22,1500-2000,False
169,2703.98,4,2007,Lucknow,Gated Society,Furnished,Duplex,No,749753.0,False,277.28,19,2500-3000,False
170,1797.02,6,1985,Prayagraj,Gated Society,Unfurnished,Apartment,No,454562.0,False,252.95,41,1500-2000,False
171,2143.44,3,2001,Jaipur,Main Road,Unknown,Duplex,No,600736.0,False,280.27,25,2000-2500,False
172,2808.04,4,2015,Prayagraj,Gated Society,Semi-Furnished,Apartment,No,679814.0,False,242.1,11,2500-3000,False
173,2388.34,2,2017,Indore,Gated Society,Unfurnished,Independent House,No,569691.0,False,238.53,9,2000-2500,False
174,2510.42,6,2022,Kanpur,Highway Facing,Unfurnished,Villa,No,722076.0,False,287.63,4,2500-3000,False
175,2036.34,4,1985,Kanpur,Main Road,Furnished,Independent House,Yes,597304.0,False,293.32,41,2000-2500,False
176,2844.37,4,2013,Delhi,Main Road,Semi-Furnished,Apartment,No,773697.0,False,272.01,13,2500-3000,False
177,1546.33,7,1994,Delhi,Highway Facing,Semi-Furnished,Duplex,No,591557.0,False,382.56,32,1500-2000,False
178,2249.28,5,2020,Indore,Residential Lane,Semi-Furnished,Independent House,No,581606.0,False,258.57,6,2000-2500,False
179,2051.17,5,1999,Gurugram,Highway Facing,Furnished,Duplex,Yes,728523.0,False,355.17,27,2000-2500,False
180,1744.09,7,2002,Prayagraj,Corner Plot,Unfurnished,Independent House,No,500679.0,False,287.07,24,1500-2000,False
181,1902.82,2,2020,Kanpur,Main Road,Semi-Furnished,Independent House,No,510752.0,False,268.42,6,1500-2000,False
182,2297.08,2,2010,Lucknow,Residential Lane,Unknown,Duplex,No,573252.0,False,249.56,16,2000-2500,False
183,2765.86,4,2020,Jaipur,Residential Lane,Furnished,Apartment,Yes,708111.0,False,256.02,6,2500-3000,False
184,2155.86,6,2001,Prayagraj,Highway Facing,Semi-Furnished,Independent House,Yes,627133.0,False,290.9,25,2000-2500,False
185,1893.38,6,2009,Gurugram,Gated Society,Semi-Furnished,Apartment,No,571752.0,False,301.97,17,1500-2000,False
186,3139.7,4,2023,Kanpur,Highway Facing,Semi-Furnished,Apartment,No,691921.0,False,220.38,3,3000+,False
187,2293.02,5,2024,Lucknow,Highway Facing,Semi-Furnished,Apartment,No,585872.0,False,255.5,2,2000-2500,False
188,2839.06,6,1986,Lucknow,Highway Facing,Semi-Furnished,Apartment,No,616503.0,False,217.15,40,2500-3000,False
189,3129.3,5,1987,Noida,Corner Plot,Semi-Furnished,Independent House,Yes,825744.0,False,263.87,39,3000+,False
190,2056.73,7,2020,Prayagraj,Main Road,Furnished,Apartment,No,620294.0,False,301.59,6,2000-2500,False
191,2887.03,5,2001,Indore,Corner Plot,Semi-Furnished,Apartment,No,650663.0,False,225.37,25,2500-3000,False
192,2285.49,5,2018,Lucknow,Main Road,Furnished,Apartment,Yes,690971.0,False,302.33,8,2000-2500,False
193,1354.95,2,1993,Gurugram,Corner Plot,Furnished,Duplex,No,448660.0,False,331.13,33,1000-1500,False
194,2400.92,5,2021,Lucknow,Main Road,Furnished,Villa,No,781802.0,False,325.63,5,2000-2500,False
195,2705.49,7,1998,Indore,Corner Plot,Unfurnished,Apartment,No,624964.0,False,231.0,28,2500-3000,False
196,2591.75,3,2009,Delhi,Corner Plot,Semi-Furnished,Apartment,No,660279.0,False,254.76,17,2500-3000,False
197,2357.8,7,2009,Noida,Gated Society,Furnished,Apartment,No,705924.0,False,299.4,17,2000-2500,False
198,2231.16,5,1997,Lucknow,Residential Lane,Furnished,Duplex,No,626943.0,False,280.99,29,2000-2500,False
199,1288.96,4,1989,Noida,Main Road,Furnished,Duplex,No,506229.0,False,392.74,37,1000-1500,False
200,2281.77,2,2007,Gurugram,Gated Society,Furnished,Apartment,Yes,645451.0,False,282.87,19,2000-2500,False
201,2366.35,5,2017,Jaipur,Main Road,Furnished,Apartment,No,618440.0,False,261.35,9,2000-2500,False
202,2469.85,7,2023,Prayagraj,Corner Plot,Semi-Furnished,Independent House,No,664271.0,False,268.95,3,2000-2500,False
203,2409.2,7,1998,Prayagraj,Gated Society,Furnished,Apartment,Yes,637727.0,False,264.7,28,2000-2500,False
204,1984.64,6,1994,Indore,Gated Society,Furnished,Apartment,No,556562.0,False,280.43,32,1500-2000,False
205,5505.77,5,1995,Lucknow,Gated Society,Semi-Furnished,Apartment,No,1284263.92,True,233.26,31,3000+,True
206,2842.52,4,2013,Kanpur,Residential Lane,Unfurnished,Duplex,No,651321.0,False,229.14,13,2500-3000,False
207,2828.28,5,2013,Noida,Residential Lane,Furnished,Villa,No,817116.0,False,288.91,13,2500-3000,False
208,2189.91,4,2006,Jaipur,Main Road,Furnished,Independent House,No,638196.0,False,291.43,20,2000-2500,False
209,2452.98,2,2007,Prayagraj,Main Road,Semi-Furnished,Independent House,No,565138.0,False,230.39,19,2000-2500,False
210,2132.34,2,1989,Indore,Residential Lane,Semi-Furnished,Duplex,No,506117.0,False,237.35,37,2000-2500,False
211,1864.01,3,1989,Kanpur,Residential Lane,Furnished,Apartment,No,440623.0,False,236.38,37,1500-2000,False
212,2533.92,3,1999,Delhi,Corner Plot,Semi-Furnished,Villa,Yes,812307.0,False,320.57,27,2500-3000,False
213,2450.74,7,1994,Lucknow,Highway Facing,Unfurnished,Independent House,No,667703.0,False,272.45,32,2000-2500,False
214,3040.66,5,2018,Jaipur,Main Road,Unfurnished,Apartment,Yes,746659.0,False,245.56,8,3000+,False
215,1625.35,5,2009,Lucknow,Corner Plot,Furnished,Apartment,Yes,469769.0,False,289.03,17,1500-2000,False
216,2369.07,4,2016,Jaipur,Main Road,Furnished,Independent House,No,675517.0,False,285.14,10,2000-2500,False
217,1517.27,7,1992,Kanpur,Corner Plot,Furnished,Apartment,No,458809.0,False,302.39,34,1500-2000,False
218,1744.35,5,2013,Noida,Gated Society,Semi-Furnished,Apartment,No,558550.0,False,320.21,13,1500-2000,False
219,2192.64,5,1997,Prayagraj,Gated Society,Semi-Furnished,Independent House,No,600130.0,False,273.7,29,2000-2500,False
220,2289.47,2,2021,Noida,Residential Lane,Furnished,Apartment,Yes,597091.0,False,260.8,5,2000-2500,False
221,2085.04,3,2018,Noida,Gated Society,Semi-Furnished,Independent House,Yes,644197.0,False,308.96,8,2000-2500,False
222,1768.31,3,2004,Gurugram,Highway Facing,Unfurnished,Apartment,No,464564.0,False,262.72,22,1500-2000,False
223,3149.83,7,2019,Kanpur,Gated Society,Furnished,Apartment,Yes,837376.0,False,265.85,7,3000+,False
224,1971.09,2,1991,Kanpur,Highway Facing,Furnished,Independent House,No,461943.0,False,234.36,35,1500-2000,False
225,3223.72,7,2008,Noida,Highway Facing,Furnished,Villa,No,981429.0,True,304.44,18,3000+,True
226,1749.99,7,2008,Kanpur,Residential Lane,Semi-Furnished,Villa,No,592138.0,False,338.37,18,1500-2000,False
227,700.0,5,2014,Jaipur,Main Road,Furnished,Apartment,No,340017.0,False,485.74,12,<1000,False
228,3032.4,4,2017,Lucknow,Corner Plot,Unfurnished,Apartment,No,677986.0,False,223.58,9,3000+,False
229,2831.08,4,2023,Indore,Gated Society,Furnished,Apartment,No,708317.0,False,250.19,3,2500-3000,False
230,2277.49,6,2003,Kanpur,Residential Lane,Unfurnished,Villa,No,605316.0,False,265.78,23,2000-2500,False
231,2482.48,3,1989,Noida,Corner Plot,Furnished,Duplex,No,660858.0,False,266.21,37,2000-2500,False
232,2254.95,5,1990,Kanpur,Corner Plot,Furnished,Apartment,Yes,579518.0,False,257.0,36,2000-2500,False
233,2170.44,6,2014,Noida,Corner Plot,Furnished,Apartment,No,647913.0,False,298.52,12,2000-2500,False
234,1611.91,2,1997,Delhi,Gated Society,Unfurnished,Apartment,No,417087.0,False,258.75,29,1500-2000,False
